WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

Ruby Ash Lightning Staff,Epic,Trial by Fire,Buoyant Armiger,47, Grahtwood: Elden Root , Skywatch Club ,23500,139,574.8723404255319
Ruby Ash Lightning Staff,Epic,Trial by Fire,Buoyant Armiger,47, Grahtwood: Elden Root , Skywatch Club ,23500,139,574.8723404255319
Ruby Ash Lightning Staff,Epic,Trial by Fire,Buoyant Armiger,47, Grahtwood: Elden Root , Skywatch Club ,23500,139,574.8723404255319
Ruby Ash Lightning Staff,Epic,Trial by Fire,Buoyant Armiger,47, Grahtwood: Elden Root , Skywatch Club ,23500,139,574.8723404255319
Ruby Ash Lightning Staff,Epic,Trial by Fire,Buoyant Armiger,47, Grahtwood: Elden Root , Skywatch Club ,23500,139,574.8723404255319
WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

